Team,City,State,Home_ground,Debut,Captain,Owner,Dissolved
Chennai Super Kings,Chennai, Tamil Nadu,M. A. Chidambaram Stadium,2008,MS Dhoni,India Cements,0
Delhi Capitals,Delhi,Delhi,Arun Jaitley Stadium,2008,Shreyas Iyer,GMR Group and JSW Group,0
Kings XI Punjab,Mohali (Chandigarh), Punjab,"PCA Stadium, MohaliHolkar Stadium, Indore",2008,K. L. Rahul,"Preity Zinta, Ness Wadia, Mohit Burman, Karan Paul",0
Kolkata Knight Riders,Kolkata, West Bengal,Eden Gardens,2008,Dinesh Karthik,Red Chillies Entertainment and Mehta Group,0
Mumbai Indians,Mumbai, Maharashtra,Wankhede Stadium,2008,Rohit Sharma,Reliance Industries,0
Rajasthan Royals,Jaipur, Rajasthan,Sawai Mansingh Stadium,2008,Steve Smith,Manoj Badale,0
Royal Challengers Bangalore,Bengaluru, Karnataka,M. Chinnaswamy Stadium,2008,Virat Kohli,United Spirits,0
Sunrisers Hyderabad,Hyderabad, Telengana,Rajiv Gandhi International Cricket Stadium,2013,Kane Williamson,Sun TV Network,0
Kochi Tuskers Kerala,Kochi, Kerala,Jawaharlal Nehru Stadium,2010,Parthiv Patel,Rendezvous Consortium,2011
Pune Warriors India,Pune, Maharashtra,"DY Patil Stadium, Maharashtra Cricket Association Stadium",2010,Aaron Finch,Subrata Roy,2014
Rising Pune Supergiant,Pune, Maharashtra,Maharashtra Cricket Association Stadium,2016, Steve Smith,Sanjiv Goenka,2018
Gujarat Lions,Rajkot, Gujarat,Saurashtra Cricket Association Stadium,2016,Suresh Raina ,Keshav Bansal,2018
